板块,公司全称,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
创业板,南京宝色股份公司,300402,宝色股份,10/10/2014,"202,000,000","202,000,000",,,,0,0,华东,江苏,南京市,C 制造业,www.baose.com
创业板,汉宇集团股份有限公司,300403,汉宇集团,10/30/2014,"603,000,000","380,942,196",,,,0,0,华南,广东,江门市,C 制造业,www.idearhanyu.com
创业板,广州博济医药生物技术股份有限公司,300404,博济医药,4/24/2015,"226,619,451","150,072,923",,,,0,0,华南,广东,广州市,M 科研服务,www.gzboji.com
创业板,辽宁科隆精细化工股份有限公司,300405,科隆股份,10/30/2014,"222,469,156","146,693,647",,,,0,0,东北,辽宁,辽阳市,C 制造业,www.kelongchem.com
创业板,北京九强生物技术股份有限公司,300406,九强生物,10/30/2014,"588,997,245","329,796,891",,,,0,0,华北,北京,北京市,C 制造业,www.bsbe.com.cn
创业板,天津凯发电气股份有限公司,300407,凯发电气,12/3/2014,"305,092,169","210,408,134",,,,0,0,华北,天津,天津市,C 制造业,www.keyvia.cn
创业板,潮州三环（集团）股份有限公司,300408,三环集团,12/3/2014,"1,816,905,952","1,671,867,331",,,,0,0,华南,广东,潮州市,C 制造业,www.cctc.cc
创业板,广东道氏技术股份有限公司,300409,道氏技术,12/3/2014,"460,005,475","322,198,775",,,,0,0,华南,广东,江门市,C 制造业,www.dowstone.com.cn
创业板,广东正业科技股份有限公司,300410,正业科技,12/31/2014,"374,154,590","364,396,226",,,,0,0,华南,广东,东莞市,C 制造业,www.zhengyee.com
创业板,浙江金盾风机股份有限公司,300411,金盾股份,12/31/2014,"456,350,089","159,463,673",,,,0,0,华东,浙江,绍兴市,C 制造业,www.jindunfan.com
创业板,浙江迦南科技股份有限公司,300412,迦南科技,12/31/2014,"257,224,900","222,509,494",,,,0,0,华东,浙江,温州市,C 制造业,www.china-jianan.com/cn/
创业板,芒果超媒股份有限公司,300413,芒果超媒,1/21/2015,"1,780,377,511","931,356,654",,,,0,0,华中,湖南,长沙市,R 文化传播,www.happigo.com
创业板,四川中光防雷科技股份有限公司,300414,中光防雷,5/13/2015,"324,733,466","304,864,126",,,,0,0,西南,四川,成都市,C 制造业,www.zhongguang.com
