"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年9月30日","54.07","56.54","56.57","53.98","532.52K","-3.29%"
"2019年9月27日","55.91","56.51","56.76","54.75","712.97K","-0.89%"
"2019年9月26日","56.41","56.69","56.84","55.41","599.65K","-0.14%"
"2019年9月25日","56.49","56.70","57.02","55.55","563.55K","-1.40%"
"2019年9月24日","57.29","58.44","58.49","56.69","591.53K","-2.30%"
"2019年9月23日","58.64","59.25","59.39","57.37","526.79K","0.95%"
"2019年9月20日","58.09","58.65","59.10","57.79","37.98K","-0.07%"
"2019年9月19日","58.13","58.20","59.54","58.01","112.33K","0.03%"
"2019年9月18日","58.11","58.81","59.43","57.67","216.96K","-2.07%"
"2019年9月17日","59.34","61.96","62.59","58.46","993.24K","-5.66%"
"2019年9月16日","62.90","61.48","63.38","58.77","1.40M","14.68%"
"2019年9月13日","54.85","55.15","55.68","54.44","599.47K","-0.44%"
"2019年9月12日","55.09","55.93","56.34","54.00","845.98K","-1.18%"
"2019年9月11日","55.75","57.89","58.30","55.61","858.77K","-2.87%"
"2019年9月10日","57.40","58.03","58.76","57.20","755.47K","-0.78%"
"2019年9月9日","57.85","56.80","58.16","56.58","646.99K","2.35%"
"2019年9月6日","56.52","56.19","56.95","54.83","714.29K","0.39%"
"2019年9月5日","56.30","55.95","57.76","55.75","712.47K","0.07%"
"2019年9月4日","56.26","53.92","56.58","53.84","682.30K","4.30%"
"2019年9月3日","53.94","55.00","55.24","52.84","970.80K","-1.32%"
"2019年9月2日","54.66","54.81","55.22","54.36","-","-0.26%"
"2019年9月1日","54.80","55.00","55.00","54.56","-","-0.54%"
"2019年8月30日","55.10","56.63","56.72","54.55","708.27K","-2.84%"
"2019年8月29日","56.71","55.88","56.89","55.43","630.76K","1.67%"
"2019年8月28日","55.78","55.71","56.75","55.34","674.05K","1.55%"
"2019年8月27日","54.93","53.76","55.72","53.69","596.62K","2.40%"
"2019年8月26日","53.64","53.25","55.26","52.96","679.02K","-0.98%"
"2019年8月23日","54.17","55.35","55.60","53.24","807.15K","-2.13%"
